seed,subset_pct,num_samples,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,5,3000,14,1.72,0.8332,0.8332,0.8279,0.8279,0.8335,0.8332,0.9833,0.8929,0.8161,0.8147,0.4524
14994796,10,6000,17,3.61,0.8699,0.8699,0.871,0.871,0.8749,0.8699,0.9896,0.9316,0.8558,0.8554,0.3857
14994796,15,9000,18,6.5,0.8864,0.8864,0.8865,0.8865,0.8873,0.8864,0.9911,0.9411,0.8739,0.8738,0.33
14994796,20,12000,19,8.08,0.8933,0.8933,0.8925,0.8925,0.8942,0.8933,0.9921,0.9473,0.8818,0.8814,0.3114
14994796,25,15000,19,10.1,0.8959,0.8959,0.8947,0.8947,0.8961,0.8959,0.9924,0.949,0.8847,0.8843,0.3119
14994796,30,18000,19,41.43,0.9009,0.9009,0.8991,0.8991,0.9002,0.9009,0.9932,0.9542,0.8902,0.8899,0.2921
14994796,35,21000,18,50.01,0.9052,0.9052,0.9047,0.9047,0.9049,0.9052,0.9934,0.9551,0.8947,0.8947,0.2793
14994796,40,24000,18,58.71,0.908,0.908,0.9083,0.9083,0.9096,0.908,0.9939,0.9597,0.8979,0.8978,0.266
14994796,45,27000,16,57.89,0.9064,0.9064,0.9064,0.9064,0.9073,0.9064,0.994,0.9591,0.8961,0.896,0.2627
14994796,50,30000,16,63.82,0.9075,0.9075,0.9059,0.9059,0.9079,0.9075,0.9941,0.9599,0.8976,0.8972,0.2605
14994796,55,33000,17,73.88,0.9135,0.9135,0.9128,0.9128,0.9133,0.9135,0.9943,0.9616,0.904,0.9039,0.2523
14994796,60,36000,15,71.38,0.908,0.908,0.9075,0.9075,0.908,0.908,0.994,0.9602,0.8979,0.8978,0.2528
14994796,65,39000,17,86.3,0.9114,0.9114,0.9121,0.9121,0.9137,0.9114,0.9944,0.962,0.9017,0.9016,0.2561
14994796,70,42000,19,106.1,0.9138,0.9138,0.9142,0.9142,0.9162,0.9138,0.9947,0.9645,0.9044,0.9042,0.259
