seed,noise_rate,noisy_pct,clean_samples,noisy_samples,num_corrupted,total_samples,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,0.05,0,30000,0,0,30000,18,22.76,0.9115,0.9115,0.911,0.911,0.9115,0.9115,0.994,0.96,0.9018,0.9017,0.2747
14994796,0.05,5,30000,3000,121,33000,17,26.07,0.9043,0.9043,0.9059,0.9059,0.9104,0.9043,0.9941,0.9603,0.8941,0.8937,0.2648
14994796,0.05,10,30000,6000,275,36000,19,30.93,0.9182,0.9182,0.9177,0.9177,0.918,0.9182,0.994,0.9622,0.9092,0.9091,0.2538
14994796,0.05,15,30000,9000,424,39000,17,27.35,0.9129,0.9129,0.9137,0.9137,0.9167,0.9129,0.9939,0.9624,0.9035,0.9032,0.2543
14994796,0.05,20,30000,12000,586,42000,14,25.22,0.9079,0.9079,0.9084,0.9084,0.9101,0.9079,0.9938,0.9594,0.8978,0.8977,0.2658
14994796,0.05,25,30000,15000,734,45000,17,30.71,0.9116,0.9116,0.9107,0.9107,0.9117,0.9116,0.9938,0.9602,0.902,0.9018,0.2608
14994796,0.05,30,30000,18000,898,48000,17,33.21,0.9139,0.9139,0.9137,0.9137,0.9147,0.9139,0.9941,0.9622,0.9045,0.9043,0.2555
14994796,0.05,35,30000,21000,1053,51000,19,39.67,0.9179,0.9179,0.9176,0.9176,0.9176,0.9179,0.9943,0.9639,0.9088,0.9088,0.2445
14994796,0.05,40,30000,24000,1210,54000,15,33.33,0.9151,0.9151,0.9146,0.9146,0.915,0.9151,0.9944,0.963,0.9058,0.9057,0.2501
14994796,0.05,45,30000,27000,1361,57000,17,39.85,0.9151,0.9151,0.9149,0.9149,0.9154,0.9151,0.9943,0.9638,0.9057,0.9057,0.2565
