func_type,equation,r_squared,x_min,x_max,efficiency_x,efficiency_y,efficiency_note,efficiency_ratio,knee_x,knee_y,knee_note,marginal_x,marginal_y,marginal_note,marginal_threshold,metric,condition,num_classes
log,y = 0.0075·log(x) + 0.9408,0.9882,10.0,100.0,10.0,0.9581,boundary,0.09581263,39.1,0.9684,max_distance,75.25,0.9733,dy/dx=0.0001,0.0001,accuracy,2 classes,2
log,y = 0.0053·log(x) + 0.9534,0.9786,10.0,100.0,10.0,0.9657,boundary,0.09657343,39.1,0.973,max_distance,53.4,0.9747,dy/dx=0.0001,0.0001,accuracy,3 classes,3
log,y = 0.0064·log(x) + 0.9549,0.9709,10.0,100.0,10.0,0.9696,boundary,0.0969605,39.1,0.9783,max_distance,63.73,0.9814,dy/dx=0.0001,0.0001,accuracy,4 classes,4
log,y = 0.0089·log(x) + 0.9278,0.996,10.0,100.0,10.0,0.9483,boundary,0.094829,39.1,0.9604,max_distance,88.83,0.9677,dy/dx=0.0001,0.0001,accuracy,5 classes,5
log,y = 0.0172·log(x) + 0.8557,0.9958,10.0,100.0,10.0,0.8952,boundary,0.08951904,39.1,0.9186,max_distance,100.0,0.9347,not_reached,0.0001,accuracy,6 classes,6
log,y = 0.0144·log(x) + 0.8811,0.9936,10.0,100.0,10.0,0.9142,boundary,0.09142236,39.1,0.9338,max_distance,100.0,0.9473,not_reached,0.0001,accuracy,7 classes,7
log,y = 0.0153·log(x) + 0.8728,0.9956,10.0,100.0,10.0,0.908,boundary,0.09080041,39.1,0.9289,max_distance,100.0,0.9432,not_reached,0.0001,accuracy,8 classes,8
log,y = 0.0203·log(x) + 0.8300,0.9885,10.0,100.0,10.0,0.8767,boundary,0.08767219,39.1,0.9044,max_distance,100.0,0.9235,not_reached,0.0001,accuracy,9 classes,9
log,y = 0.0182·log(x) + 0.8351,0.9769,10.0,100.0,10.0,0.8771,boundary,0.08770962,39.1,0.902,max_distance,100.0,0.9191,not_reached,0.0001,accuracy,10 classes,10
log,y = 0.0075·log(x) + 0.9408,0.9882,10.0,100.0,10.0,0.9581,boundary,0.09581263,39.1,0.9684,max_distance,75.25,0.9733,dy/dx=0.0001,0.0001,balanced_accuracy,2 classes,2
log,y = 0.0053·log(x) + 0.9534,0.9786,10.0,100.0,10.0,0.9657,boundary,0.09657343,39.1,0.973,max_distance,53.4,0.9747,dy/dx=0.0001,0.0001,balanced_accuracy,3 classes,3
log,y = 0.0064·log(x) + 0.9549,0.9709,10.0,100.0,10.0,0.9696,boundary,0.0969605,39.1,0.9783,max_distance,63.73,0.9814,dy/dx=0.0001,0.0001,balanced_accuracy,4 classes,4
log,y = 0.0089·log(x) + 0.9278,0.996,10.0,100.0,10.0,0.9483,boundary,0.094829,39.1,0.9604,max_distance,88.83,0.9677,dy/dx=0.0001,0.0001,balanced_accuracy,5 classes,5
log,y = 0.0172·log(x) + 0.8557,0.9958,10.0,100.0,10.0,0.8952,boundary,0.08951904,39.1,0.9186,max_distance,100.0,0.9347,not_reached,0.0001,balanced_accuracy,6 classes,6
log,y = 0.0144·log(x) + 0.8811,0.9936,10.0,100.0,10.0,0.9142,boundary,0.09142236,39.1,0.9338,max_distance,100.0,0.9473,not_reached,0.0001,balanced_accuracy,7 classes,7
log,y = 0.0153·log(x) + 0.8728,0.9956,10.0,100.0,10.0,0.908,boundary,0.09080041,39.1,0.9289,max_distance,100.0,0.9432,not_reached,0.0001,balanced_accuracy,8 classes,8
log,y = 0.0203·log(x) + 0.8300,0.9885,10.0,100.0,10.0,0.8767,boundary,0.08767219,39.1,0.9044,max_distance,100.0,0.9235,not_reached,0.0001,balanced_accuracy,9 classes,9
log,y = 0.0182·log(x) + 0.8351,0.9769,10.0,100.0,10.0,0.8771,boundary,0.08770962,39.1,0.902,max_distance,100.0,0.9191,not_reached,0.0001,balanced_accuracy,10 classes,10
log,y = 0.0075·log(x) + 0.9407,0.9881,10.0,100.0,10.0,0.9581,boundary,0.09580932,39.1,0.9684,max_distance,75.38,0.9733,dy/dx=0.0001,0.0001,f1_macro,2 classes,2
log,y = 0.0054·log(x) + 0.9533,0.9778,10.0,100.0,10.0,0.9656,boundary,0.09656267,39.1,0.973,max_distance,53.73,0.9747,dy/dx=0.0001,0.0001,f1_macro,3 classes,3
log,y = 0.0063·log(x) + 0.9551,0.9709,10.0,100.0,10.0,0.9697,boundary,0.09696642,39.1,0.9783,max_distance,63.46,0.9814,dy/dx=0.0001,0.0001,f1_macro,4 classes,4
log,y = 0.0090·log(x) + 0.9274,0.9963,10.0,100.0,10.0,0.9481,boundary,0.09480616,39.1,0.9603,max_distance,89.68,0.9677,dy/dx=0.0001,0.0001,f1_macro,5 classes,5
log,y = 0.0172·log(x) + 0.8553,0.9956,10.0,100.0,10.0,0.895,boundary,0.08949524,39.1,0.9184,max_distance,100.0,0.9346,not_reached,0.0001,f1_macro,6 classes,6
log,y = 0.0143·log(x) + 0.8812,0.9939,10.0,100.0,10.0,0.9141,boundary,0.09141479,39.1,0.9337,max_distance,100.0,0.9471,not_reached,0.0001,f1_macro,7 classes,7
log,y = 0.0154·log(x) + 0.8723,0.9954,10.0,100.0,10.0,0.9078,boundary,0.09077667,39.1,0.9287,max_distance,100.0,0.9432,not_reached,0.0001,f1_macro,8 classes,8
log,y = 0.0202·log(x) + 0.8299,0.9887,10.0,100.0,10.0,0.8765,boundary,0.08765352,39.1,0.9041,max_distance,100.0,0.9231,not_reached,0.0001,f1_macro,9 classes,9
log,y = 0.0184·log(x) + 0.8339,0.9763,10.0,100.0,10.0,0.8764,boundary,0.08763794,39.1,0.9015,max_distance,100.0,0.9188,not_reached,0.0001,f1_macro,10 classes,10
log,y = 0.0028·log(x) + 0.9819,0.9788,10.0,100.0,10.0,0.9883,boundary,0.09883139,39.1,0.9921,max_distance,27.89,0.9912,dy/dx=0.0001,0.0001,auroc_macro,2 classes,2
log,y = 0.0016·log(x) + 0.9898,0.9792,10.0,100.0,10.0,0.9934,boundary,0.09933752,39.1,0.9955,max_distance,15.72,0.9941,dy/dx=0.0001,0.0001,auroc_macro,3 classes,3
log,y = 0.0009·log(x) + 0.9949,0.9585,10.0,100.0,10.0,0.997,boundary,0.09969658,39.1,0.9982,max_distance,10.0,0.997,dy/dx=0.0001,0.0001,auroc_macro,4 classes,4
log,y = 0.0013·log(x) + 0.9918,0.9672,10.0,100.0,10.0,0.9947,boundary,0.09946922,39.1,0.9964,max_distance,12.64,0.995,dy/dx=0.0001,0.0001,auroc_macro,5 classes,5
log,y = 0.0031·log(x) + 0.9805,0.9914,10.0,100.0,10.0,0.9875,boundary,0.09875115,39.1,0.9917,max_distance,30.62,0.9909,dy/dx=0.0001,0.0001,auroc_macro,6 classes,6
