seed,num_classes,combo_idx,class_list,subset_pct,num_samples,samples_per_class,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,2,0,"[2, 3]",10,1200,600,14,0.86,0.971,0.971,0.971,0.971,0.971,0.971,0.9958,0.9959,0.942,0.942,0.0867
14994796,2,0,"[2, 3]",20,2400,1200,25,2.37,0.9765,0.9765,0.9765,0.9765,0.9766,0.9765,0.9975,0.9975,0.9531,0.953,0.0996
14994796,2,0,"[2, 3]",30,3600,1800,17,2.66,0.9775,0.9775,0.9775,0.9775,0.9776,0.9775,0.9975,0.9976,0.9551,0.955,0.0716
14994796,2,0,"[2, 3]",40,4800,2400,15,3.11,0.9805,0.9805,0.9805,0.9805,0.9806,0.9805,0.9981,0.9981,0.9611,0.961,0.0599
14994796,2,0,"[2, 3]",50,6000,3000,12,3.05,0.977,0.977,0.977,0.977,0.9771,0.977,0.9976,0.9976,0.9541,0.954,0.0634
14994796,2,0,"[2, 3]",60,7200,3600,14,4.19,0.98,0.98,0.98,0.98,0.98,0.98,0.9978,0.9978,0.96,0.96,0.0596
14994796,2,0,"[2, 3]",70,8400,4200,17,6.07,0.98,0.98,0.98,0.98,0.9801,0.98,0.9977,0.9977,0.9601,0.96,0.07
14994796,2,0,"[2, 3]",80,9600,4800,12,4.95,0.979,0.979,0.979,0.979,0.9792,0.979,0.9976,0.9976,0.9582,0.958,0.0571
14994796,2,0,"[2, 3]",90,10800,5400,17,7.59,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.9975,0.9971,0.967,0.967,0.0622
14994796,2,0,"[2, 3]",100,12000,6000,21,10.52,0.984,0.984,0.984,0.984,0.984,0.984,0.9972,0.997,0.968,0.968,0.0577
14994796,2,1,"[2, 6]",10,1200,600,16,0.81,0.8745,0.8745,0.8744,0.8744,0.8751,0.8745,0.9489,0.9485,0.7496,0.749,0.3362
14994796,2,1,"[2, 6]",20,2400,1200,20,1.99,0.8965,0.8965,0.8962,0.8962,0.9008,0.8965,0.9686,0.969,0.7972,0.793,0.3186
14994796,2,1,"[2, 6]",30,3600,1800,15,2.24,0.905,0.905,0.905,0.905,0.905,0.905,0.9666,0.9666,0.81,0.81,0.2415
14994796,2,1,"[2, 6]",40,4800,2400,14,2.78,0.9035,0.9035,0.9033,0.9033,0.9067,0.9035,0.9705,0.9709,0.8102,0.807,0.2454
14994796,2,1,"[2, 6]",50,6000,3000,16,3.96,0.9195,0.9195,0.9194,0.9194,0.9208,0.9195,0.9743,0.9746,0.8403,0.839,0.2291
14994796,2,1,"[2, 6]",60,7200,3600,15,4.5,0.9175,0.9175,0.9174,0.9174,0.9186,0.9175,0.9752,0.9759,0.8361,0.835,0.2133
14994796,2,1,"[2, 6]",70,8400,4200,17,5.89,0.9185,0.9185,0.9185,0.9185,0.9187,0.9185,0.9754,0.9758,0.8372,0.837,0.2172
14994796,2,1,"[2, 6]",80,9600,4800,13,5.01,0.907,0.907,0.9069,0.9069,0.9094,0.907,0.9747,0.9751,0.8164,0.814,0.2213
14994796,2,1,"[2, 6]",90,10800,5400,15,6.49,0.924,0.924,0.924,0.924,0.9243,0.924,0.9769,0.9776,0.8483,0.848,0.207
14994796,2,1,"[2, 6]",100,12000,6000,14,6.81,0.9165,0.9165,0.9165,0.9165,0.9168,0.9165,0.9759,0.9765,0.8333,0.833,0.213
14994796,2,2,"[2, 8]",10,1200,600,22,1.09,0.9935,0.9935,0.9935,0.9935,0.9935,0.9935,0.9998,0.9998,0.987,0.987,0.0206
14994796,2,2,"[2, 8]",20,2400,1200,20,1.96,0.991,0.991,0.991,0.991,0.9911,0.991,0.9999,0.9999,0.9821,0.982,0.029
14994796,2,2,"[2, 8]",30,3600,1800,18,2.69,0.995,0.995,0.995,0.995,0.995,0.995,0.9999,0.9999,0.99,0.99,0.0141
14994796,2,2,"[2, 8]",40,4800,2400,26,5.01,0.9965,0.9965,0.9965,0.9965,0.9965,0.9965,0.9999,0.9999,0.993,0.993,0.0125
14994796,2,2,"[2, 8]",50,6000,3000,17,4.16,0.9915,0.9915,0.9915,0.9915,0.9915,0.9915,0.9998,0.9998,0.983,0.983,0.0249
14994796,2,2,"[2, 8]",60,7200,3600,22,6.46,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,1.0,1.0,0.995,0.995,0.0086
14994796,2,2,"[2, 8]",70,8400,4200,22,7.48,0.997,0.997,0.997,0.997,0.997,0.997,1.0,1.0,0.994,0.994,0.009
14994796,2,2,"[2, 8]",80,9600,4800,13,5.18,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9999,0.9999,0.991,0.991,0.0135
14994796,2,2,"[2, 8]",90,10800,5400,16,7.0,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9999,0.9999,0.991,0.991,0.01
